threshold,nb_model,nb_treat_all,nb_treat_none,horizon
0.37,0.3738764582138076,0.04379422451711612,0.0,48h
0.38,0.37310532452390205,0.0283715507190051,0.0,48h
0.39,0.37230890776219633,0.012443215484890413,0.0,48h
0.4,0.37148594377510036,-0.004016064257028107,0.0,48h
0.41000000000000003,0.3706350827036961,-0.021033285685113312,0.0,48h
0.42000000000000004,0.36975488159534686,-0.03863730785209807,0.0,48h
0.43,0.36281969985203977,-0.05685901500739787,0.0,48h
0.44,0.36187607573149744,-0.07573149741824431,0.0,48h
0.45,0.3608981380065718,-0.09529025191675788,0.0,48h
0.46,0.3598839803659081,-0.11557340473003125,0.0,48h
0.47000000000000003,0.35883155262559674,-0.13662195953625816,0.0,48h
0.48000000000000004,0.3632993512511585,-0.15848007414272475,0.0,48h
0.49,0.36239073942830147,-0.18119536971415057,0.0,48h
0.5,0.3614457831325301,-0.20481927710843367,0.0,48h
0.51,0.36046225719203345,-0.22940742562085076,0.0,48h
0.52,0.3594377510040161,-0.25502008032128504,0.0,48h
0.53,0.358369648807998,-0.28172263522173796,0.0,48h
0.54,0.35725510738606603,-0.30958617077003675,0.0,48h
0.55,0.3500669344042838,-0.33868808567603753,0.0,48h
0.56,0.3488499452354874,-0.36911281489594744,0.0,48h
0.5700000000000001,0.34757635191930514,-0.4009526478005045,0.0,48h
0.5800000000000001,0.3462421113023523,-0.4343086632243261,0.0,48h
0.59,0.34484278577725536,-0.46929180135174825,0.0,48h
0.6,0.3433734939759036,-0.506024096385542,0.0,48h
0.61,0.34182885387704665,-0.5446400988569662,0.0,48h
0.62,0.34020291693088145,-0.5852885225110969,0.0,48h
0.63,0.3384890915011397,-0.62813415825464,0.0,48h
0.64,0.3366800535475234,-0.6733601070950468,0.0,48h
0.65,0.3347676419965577,-0.7211703958691911,0.0,48h
0.66,0.33274273564847623,-0.7717930545712262,0.0,48h
0.67,0.33059510770354145,-0.8254837531945967,0.0,48h
0.68,0.32831325301204817,-0.8825301204819278,0.0,48h
0.6900000000000001,0.3258841818888457,-0.94325689856199,0.0,48h
0.7000000000000001,0.323293172690763,-1.0080321285140565,0.0,48h
0.7100000000000001,0.32052347320315744,-1.0772746157041964,0.0,48h
0.72,0.31755593803786575,-1.1514629948364885,0.0,48h
0.73,0.3143685854529228,-1.2311468094600622,0.0,48h
0.74,0.3109360518999073,-1.3169601482854492,0.0,48h
0.75,0.3253012048192771,-1.4096385542168672,0.0,48h
0.76,0.32228915662650603,-1.5100401606425702,0.0,48h
0.77,0.31901519119958094,-1.6191723415400734,0.0,48h
0.78,0.31544359255202625,-1.738225629791895,0.0,48h
0.79,0.31153184165232356,-1.868617326448652,0.0,48h
0.8,0.3072289156626506,-2.012048192771085,0.0,48h
0.81,0.30247305009511727,-2.1705770450221946,0.0,48h
